"G","A","PM","PIM","S","ATOI","BLK","HIT","FO","Pos"
2,6,-8,34,51,617,35,114,41.7,"W"
2,8,-6,20,72,935,35,27,0,"D"
2,8,0,21,56,1216,73,113,0,"D"
4,12,2,32,145,1163,143,144,0,"D"
2,12,8,15,26,1171,54,50,0,"D"
5,17,-15,37,138,1399,114,91,0,"D"
11,13,6,24,141,806,69,84,48.7,"W"
12,10,-5,42,133,797,59,132,45.8,"C"
23,37,19,18,125,1241,31,57,51.3,"C"
28,42,10,56,210,1184,37,154,48.1,"C"
1,6,-12,35,59,983,105,219,0,"D"
4,2,-5,8,39,803,15,18,100,"W"
1,4,3,6,38,1084,72,33,0,"D"
21,31,1,18,118,1094,39,13,40.1,"W"
5,31,19,16,103,1334,121,41,0,"D"
1,1,-4,4,20,449,2,14,61.9,"W"
4,23,22,14,109,1171,93,36,0,"D"
24,35,15,26,157,1164,30,52,41.1,"W"
7,19,-3,38,136,1212,170,85,0,"D"
23,32,-21,40,189,916,2,38,45,"W"
3,47,-22,30,67,933,19,18,46.5,"C"
4,4,-3,21,50,564,26,77,51.5,"W"
0,4,10,21,17,872,25,20,0,"D"
40,38,12,43,335,1255,44,74,54.9,"C"
0,5,-9,17,31,1073,43,65,0,"D"
0,8,-15,6,36,980,42,27,0,"D"
9,31,11,38,141,922,64,90,0,"D"
9,15,-8,42,121,1181,62,107,0,"D"
